OS Type    Node Agent Sku            Publisher               Offer                                              Sku                                                 Version    VerificationType
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      datacenter-core-20h2-with-containers-smalldisk      latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      datacenter-core-20h2-with-containers-smalldisk-g2   latest     unverified
windows    batch.node.windows amd64  microsoftwindowsserver  windowsserver                                      datacenter-core-20h2-with-containers-smalldisk-gs   latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7.3                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7.4                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7.5                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7.6                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7.7                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos                                             7_8                                                 latest     verified
linux      batch.node.centos 7       openlogic               centos                                             7_8-gen2                                            latest     unverified
linux      batch.node.centos 8       openlogic               centos                                             8_1                                                 latest     unverified
linux      batch.node.centos 8       openlogic               centos                                             8_2                                                 latest     verified
linux      batch.node.centos 8       openlogic               centos                                             8_2-gen2                                            latest     unverified
linux      batch.node.centos 7       openlogic               centos-hpc                                         7.3                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos-hpc                                         7.4                                                 latest     verified
linux      batch.node.centos 7       openlogic               centos-hpc                                         7.6                                                 latest     unverified
linux      batch.node.centos 7       openlogic               centos-hpc                                         7.7                                                 latest     verified
linux      batch.node.centos 7       openlogic               centos-hpc                                         7_7-gen2                                            latest     unverified
linux      batch.node.centos 8       openlogic               centos-hpc                                         8_1                                                 latest     unverified
linux      batch.node.centos 8       openlogic               centos-hpc                                         8_1-gen2                                            latest     unverified
linux      batch.node.centos 7       oracle                  oracle-linux                                       7.4                                                 latest     unverified
linux      batch.node.centos 7       oracle                  oracle-linux                                       78                                                  latest     unverified
linux      batch.node.centos 8       oracle                  oracle-linux                                       81                                                  latest     unverified
linux      batch.node.centos 7       xilinx                  xilinx_alveo_u250_deployment_vm_centos78_032321    xilinx_alveo_u250_deployment_vm_centos78_032321     latest     unverified
linux      batch.node.ubuntu 18.04   xilinx                  xilinx_alveo_u250_deployment_vm_ubuntu1804_032321  xilinx_alveo_u250_deployment_vm_ubuntu_1804_032321  latest     unverified
